cell_id,zone_name,lat,lon,demand,competitors,residential,industrial,residential_catchment,coverage,covered_by,nearest_group_km,opportunity,reason
58_62,"Al Quoz 1, Dubai",25.17,55.25,136,11,19,2,True,0,,2.82,GROW,High demand (136 retail POIs) with no group catchment reaching it; moderate competition (11 salons). Nearest group site 2.82 km away.
55_61,,25.11,55.23,74,0,10,6,True,0,,1.49,SKIP,Insufficient demand (74 retail POIs).
65_70,"Industrial Area, Sharjah",25.31,55.41,173,1,0,8,False,0,,3.01,WATCH,High demand (173 retail POIs) but no residential catchment (0 residential vs 8 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
65_71,,25.31,55.43,77,0,0,6,False,0,,2.28,SKIP,Insufficient demand (77 retail POIs).
69_73,"Al Nuaimia, Ajman",25.39,55.47,329,22,8,5,True,0,,7.74,WATCH,High demand (329 retail POIs) but saturated market (22 competitors).
56_60,"Umm Al Sheif, Dubai",25.13,55.21,129,1,4,3,True,0,,1.95,GROW,High demand (129 retail POIs) with no group catchment reaching it; moderate competition (1 salons). Nearest group site 1.95 km away.
62_66,"Port Saeed, Dubai",25.25,55.33,272,19,4,1,True,0,,3.86,GROW,High demand (272 retail POIs) with no group catchment reaching it; moderate competition (19 salons). Nearest group site 3.86 km away.
62_64,"Al Mankhool, Dubai",25.25,55.29,333,23,84,1,True,0,,3.97,WATCH,High demand (333 retail POIs) but saturated market (23 competitors).
52_58,,25.05,55.17,23,3,85,2,True,1,bd_jumeirah_park,1.27,SKIP,Insufficient demand (23 retail POIs).
56_59,,25.13,55.19,41,3,4,2,True,0,,3.19,SKIP,Insufficient demand (41 retail POIs).
56_61,"Al Quoz Industrial 3, Dubai",25.13,55.23,97,3,1,17,False,0,,2.36,WATCH,High demand (97 retail POIs) but no residential catchment (1 residential vs 17 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
61_64,"Zabeel, Dubai",25.23,55.29,84,6,126,2,True,0,,3.81,GROW,High demand (84 retail POIs) with no group catchment reaching it; moderate competition (6 salons). Nearest group site 3.81 km away.
61_65,"Zabeel, Dubai",25.23,55.31,183,9,64,0,True,0,,4.39,GROW,High demand (183 retail POIs) with no group catchment reaching it; moderate competition (9 salons). Nearest group site 4.39 km away.
54_56,,25.09,55.13,23,1,10,2,True,2,tt_dubai_marina_mall;tt_marina_vista,1.25,SKIP,Insufficient demand (23 retail POIs).
61_66,,25.23,55.33,19,0,7,2,True,0,,2.45,SKIP,Insufficient demand (19 retail POIs).
63_64,"Al Shindagha, Dubai",25.27,55.29,798,7,7,0,True,0,,5.14,GROW,High demand (798 retail POIs) with no group catchment reaching it; moderate competition (7 salons). Nearest group site 5.14 km away.
55_57,,25.11,55.15,43,4,39,2,True,0,,1.71,SKIP,Insufficient demand (43 retail POIs).
54_58,"Al Thanyah 3, Dubai",25.09,55.17,128,13,33,1,True,1,tt_the_greens_souk,0.32,WATCH,High demand (128 retail POIs) but already covered by 1 group site(s).
64_68,"Al Nahda, Dubai",25.29,55.37,476,58,3,9,False,0,,7.5,WATCH,High demand (476 retail POIs) but saturated market (58 competitors) and no residential catchment (3 residential vs 9 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
64_69,"Al Qusais Industrial Area, Dubai",25.29,55.39,275,24,0,4,False,0,,6.01,WATCH,High demand (275 retail POIs) but saturated market (24 competitors) and no residential catchment (0 residential vs 4 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
67_70,"Halwan, Sharjah",25.35,55.41,604,46,12,2,True,0,,2.91,WATCH,High demand (604 retail POIs) but saturated market (46 competitors).
65_69,"Industrial Area, Sharjah",25.31,55.39,429,42,1,4,False,0,,4.59,WATCH,High demand (429 retail POIs) but saturated market (42 competitors) and no residential catchment (1 residential vs 4 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
66_69,"Al Majaz, Sharjah",25.33,55.39,964,124,2,2,False,0,,3.99,WATCH,High demand (964 retail POIs) but saturated market (124 competitors) and no residential catchment (2 residential vs 2 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
63_67,Dubai International Airport,25.27,55.35,168,10,5,19,False,0,,5.33,WATCH,High demand (168 retail POIs) but no residential catchment (5 residential vs 19 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
60_63,"Al Satwa, Dubai",25.21,55.27,205,17,77,27,True,1,bd_city_walk,1.08,WATCH,High demand (205 retail POIs) but already covered by 1 group site(s).
65_72,,25.31,55.45,60,1,42,3,True,0,,3.08,SKIP,Insufficient demand (60 retail POIs).
51_55,,25.03,55.11,30,3,4,11,False,0,,4.26,SKIP,Insufficient demand (30 retail POIs).
55_59,"Al Barsha 1, Dubai",25.11,55.19,217,29,31,7,True,0,,2.61,WATCH,High demand (217 retail POIs) but saturated market (29 competitors).
67_69,"Al Qasimia, Sharjah",25.35,55.39,1680,134,14,1,True,0,,4.53,WATCH,High demand (1680 retail POIs) but saturated market (134 competitors).
53_57,,25.07,55.15,192,19,83,1,True,2,tt_dubai_marina_mall;tt_meadows_mall,0.76,SKIP,Fully covered by 2 group sites.
57_60,,25.15,55.21,64,13,8,0,True,0,,4.11,SKIP,Insufficient demand (64 retail POIs).
63_68,"Al Twar, Dubai",25.27,55.37,109,5,6,20,False,0,,5.6,WATCH,High demand (109 retail POIs) but no residential catchment (6 residential vs 20 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
56_69,,25.13,55.39,15,0,11,3,True,0,,2.58,SKIP,Insufficient demand (15 retail POIs).
55_69,,25.11,55.39,76,10,7,4,True,1,tt_dubai_silicon_central,1.54,SKIP,Insufficient demand (76 retail POIs).
53_56,"Al Thanyah 5, Dubai",25.07,55.13,260,25,29,5,True,1,tt_dubai_marina_mall,1.27,WATCH,High demand (260 retail POIs) but saturated market (25 competitors) and already covered by 1 group site(s).
57_70,,25.15,55.41,33,4,11,6,True,0,,4.21,SKIP,Insufficient demand (33 retail POIs).
59_70,,25.19,55.41,66,3,3,1,True,0,,2.88,SKIP,Insufficient demand (66 retail POIs).
55_58,,25.11,55.17,58,3,29,9,True,0,,1.9,SKIP,Insufficient demand (58 retail POIs).
69_72,"Al Nuaimia, Ajman",25.39,55.45,513,57,6,1,True,0,,6.88,WATCH,High demand (513 retail POIs) but saturated market (57 competitors).
52_62,,25.05,55.25,51,4,22,5,True,0,,1.86,SKIP,Insufficient demand (51 retail POIs).
66_68,"Al Khan, Sharjah",25.33,55.37,343,63,8,1,True,0,,6.01,WATCH,High demand (343 retail POIs) but saturated market (63 competitors).
59_61,,25.19,55.23,57,6,39,1,True,0,,3.66,SKIP,Insufficient demand (57 retail POIs).
59_62,"Al Wasl, Dubai",25.19,55.25,95,5,49,3,True,0,,1.74,GROW,High demand (95 retail POIs) with no group catchment reaching it; moderate competition (5 salons). Nearest group site 1.74 km away.
62_68,Dubai International Airport,25.25,55.37,80,2,3,10,False,0,,3.57,WATCH,High demand (80 retail POIs) but no residential catchment (3 residential vs 10 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
58_70,,25.17,55.41,67,4,13,1,True,0,,4.23,SKIP,Insufficient demand (67 retail POIs).
60_70,,25.21,55.41,45,1,1,0,True,1,tt_city_centre_mirdif,0.69,SKIP,Insufficient demand (45 retail POIs).
62_72,,25.25,55.45,15,1,7,0,True,0,,2.61,SKIP,Insufficient demand (15 retail POIs).
57_59,,25.15,55.19,51,0,5,0,True,0,,4.83,SKIP,Insufficient demand (51 retail POIs).
54_59,,25.09,55.19,32,1,23,0,True,0,,1.98,SKIP,Insufficient demand (32 retail POIs).
55_56,,25.11,55.13,28,0,48,2,True,1,tt_golden_mile_2,0.96,SKIP,Insufficient demand (28 retail POIs).
61_63,"Al Bada'a, Dubai",25.23,55.27,610,34,72,4,True,0,,1.97,WATCH,High demand (610 retail POIs) but saturated market (34 competitors).
58_68,,25.17,55.37,26,1,26,6,True,1,bd_nad_al_sheba,1.15,SKIP,Insufficient demand (26 retail POIs).
52_56,,25.05,55.13,59,4,11,11,False,2,tt_al_furjan_pavilion;tt_al_furjan_west,3.11,SKIP,Insufficient demand (59 retail POIs).
55_60,"Al Barsha 2, Dubai",25.11,55.21,288,34,17,4,True,2,bd_al_barsha;tt_al_barsha,0.66,WATCH,High demand (288 retail POIs) but saturated market (34 competitors) and already covered by 2 group site(s).
61_62,,25.23,55.25,59,3,31,0,True,1,tt_port_de_la_mer,0.96,SKIP,Insufficient demand (59 retail POIs).
60_62,"Jumeirah, Dubai",25.21,55.25,140,6,51,23,True,0,,1.65,GROW,High demand (140 retail POIs) with no group catchment reaching it; moderate competition (6 salons). Nearest group site 1.65 km away.
70_71,"Ajman centre, Ajman",25.41,55.43,483,24,3,0,True,0,,8.78,WATCH,High demand (483 retail POIs) but saturated market (24 competitors).
69_71,"Al Heera, Sharjah",25.39,55.43,250,28,11,0,True,0,,6.57,WATCH,High demand (250 retail POIs) but saturated market (28 competitors).
68_73,,25.37,55.47,34,2,2,2,False,0,,5.7,SKIP,Insufficient demand (34 retail POIs).
70_72,"Al Bustan, Ajman",25.41,55.45,1036,67,11,3,True,0,,9.02,WATCH,High demand (1036 retail POIs) but saturated market (67 competitors).
63_69,"Al Qusais, Dubai",25.27,55.39,103,4,3,3,False,0,,6.02,WATCH,High demand (103 retail POIs) but no residential catchment (3 residential vs 3 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
70_75,"Al Jerf, Ajman",25.41,55.51,169,20,15,3,True,0,,10.49,GROW,High demand (169 retail POIs) with no group catchment reaching it; moderate competition (20 salons). Nearest group site 10.49 km away.
69_74,"New Industrial, Ajman",25.39,55.49,90,2,2,4,False,0,,7.89,WATCH,High demand (90 retail POIs) but no residential catchment (2 residential vs 4 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
57_62,"Al Quoz Community, Dubai",25.15,55.25,196,23,19,11,True,0,,3.48,WATCH,High demand (196 retail POIs) but saturated market (23 competitors).
56_62,,25.13,55.25,57,0,7,17,False,0,,1.73,SKIP,Insufficient demand (57 retail POIs).
63_71,,25.27,55.43,55,4,6,3,True,0,,4.18,SKIP,Insufficient demand (55 retail POIs).
64_70,,25.29,55.41,44,3,2,7,False,0,,4.9,SKIP,Insufficient demand (44 retail POIs).
70_73,,25.41,55.47,55,1,30,5,True,0,,9.68,SKIP,Insufficient demand (55 retail POIs).
63_70,,25.27,55.41,33,2,4,3,True,0,,4.77,SKIP,Insufficient demand (33 retail POIs).
71_75,,25.43,55.51,58,4,13,3,True,0,,12.62,SKIP,Insufficient demand (58 retail POIs).
64_66,"Abu Hail, Dubai",25.29,55.33,122,8,3,12,False,0,,7.87,WATCH,High demand (122 retail POIs) but no residential catchment (3 residential vs 12 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
60_68,,25.21,55.37,25,1,12,0,True,0,,1.65,SKIP,Insufficient demand (25 retail POIs).
61_67,"Dubai Festival City, Dubai",25.23,55.35,103,1,9,1,True,1,tt_dubai_festival_city,0.94,WATCH,High demand (103 retail POIs) but already covered by 1 group site(s).
51_57,,25.03,55.15,61,4,12,14,False,2,tt_al_furjan_pavilion;tt_al_furjan_west,0.23,SKIP,Insufficient demand (61 retail POIs).
61_68,"Umm Ramool, Dubai",25.23,55.37,79,0,9,2,True,0,,1.97,GROW,High demand (79 retail POIs) with no group catchment reaching it; moderate competition (0 salons). Nearest group site 1.97 km away.
54_60,,25.09,55.21,23,3,8,2,True,0,,1.5,SKIP,Insufficient demand (23 retail POIs).
48_53,,24.97,55.07,17,0,2,8,False,0,,10.66,SKIP,Insufficient demand (17 retail POIs).
60_64,,25.21,55.29,26,1,99,4,True,0,,1.82,SKIP,Insufficient demand (26 retail POIs).
55_68,"City of Arabia, Dubai",25.11,55.37,112,7,24,6,True,1,tt_dubai_silicon_central,0.5,WATCH,High demand (112 retail POIs) but already covered by 1 group site(s).
52_60,,25.05,55.21,57,12,113,2,True,0,,1.7,SKIP,Insufficient demand (57 retail POIs).
62_67,Dubai International Airport,25.25,55.35,103,7,2,2,False,0,,3.12,WATCH,High demand (103 retail POIs) but no residential catchment (2 residential vs 2 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
64_72,,25.29,55.45,25,0,2,2,False,0,,4.42,SKIP,Insufficient demand (25 retail POIs).
67_71,,25.35,55.43,35,2,17,2,True,0,,2.14,SKIP,Insufficient demand (35 retail POIs).
59_67,"Ras Al Khor, Dubai",25.19,55.35,83,0,7,2,True,0,,1.37,GROW,High demand (83 retail POIs) with no group catchment reaching it; moderate competition (0 salons). Nearest group site 1.37 km away.
52_59,,25.05,55.19,22,2,73,1,True,0,,1.28,SKIP,Insufficient demand (22 retail POIs).
67_73,,25.35,55.47,25,0,5,2,True,0,,3.55,SKIP,Insufficient demand (25 retail POIs).
71_77,,25.43,55.55,29,2,1,10,False,0,,14.15,SKIP,Insufficient demand (29 retail POIs).
71_76,,25.43,55.53,28,1,1,6,False,0,,13.25,SKIP,Insufficient demand (28 retail POIs).
58_69,,25.17,55.39,18,0,29,4,True,0,,2.35,SKIP,Insufficient demand (18 retail POIs).
49_59,,24.99,55.19,27,1,5,3,True,0,,5.61,SKIP,Insufficient demand (27 retail POIs).
51_59,,25.03,55.19,16,1,54,2,True,0,,1.34,SKIP,Insufficient demand (16 retail POIs).
59_64,,25.19,55.29,63,5,70,5,True,0,,1.36,SKIP,Insufficient demand (63 retail POIs).
51_63,,25.03,55.27,24,2,76,2,True,0,,2.66,SKIP,Insufficient demand (24 retail POIs).
68_70,"Al Sharq, Sharjah",25.37,55.41,83,2,19,2,True,0,,4.78,GROW,High demand (83 retail POIs) with no group catchment reaching it; moderate competition (2 salons). Nearest group site 4.78 km away.
59_68,,25.19,55.37,50,0,26,5,True,0,,1.31,SKIP,Insufficient demand (50 retail POIs).
62_63,,25.25,55.27,24,0,32,7,True,0,,2.16,SKIP,Insufficient demand (24 retail POIs).
53_60,,25.07,55.21,41,3,59,3,True,0,,1.85,SKIP,Insufficient demand (41 retail POIs).
66_71,"Mughaidir, Sharjah",25.33,55.43,78,4,10,5,True,1,bd_zawaya_walk,0.09,WATCH,High demand (78 retail POIs) but already covered by 1 group site(s).
69_75,"Al Zahraa, Ajman",25.39,55.51,157,15,2,2,False,0,,8.4,WATCH,High demand (157 retail POIs) but no residential catchment (2 residential vs 2 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
70_74,,25.41,55.49,52,7,40,5,True,0,,10.09,SKIP,Insufficient demand (52 retail POIs).
66_70,"Industrial Area, Sharjah",25.33,55.41,114,2,4,4,False,1,bd_zawaya_walk,1.97,WATCH,High demand (114 retail POIs) but already covered by 1 group site(s) and no residential catchment (4 residential vs 4 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
65_73,,25.31,55.47,15,0,45,2,True,0,,1.43,SKIP,Insufficient demand (15 retail POIs).
45_48,,24.91,54.97,20,0,0,10,False,0,,22.72,SKIP,Insufficient demand (20 retail POIs).
69_76,,25.39,55.53,23,4,11,0,True,0,,9.32,SKIP,Insufficient demand (23 retail POIs).
58_60,,25.17,55.21,65,3,5,0,True,0,,6.19,SKIP,Insufficient demand (65 retail POIs).
60_69,,25.21,55.39,19,2,2,0,True,0,,1.94,SKIP,Insufficient demand (19 retail POIs).
52_61,,25.05,55.23,35,5,41,5,True,0,,1.27,SKIP,Insufficient demand (35 retail POIs).
64_65,,25.29,55.31,28,2,0,10,False,0,,8.12,SKIP,Insufficient demand (28 retail POIs).
68_75,,25.37,55.51,15,0,1,0,True,0,,6.39,SKIP,Insufficient demand (15 retail POIs).
64_71,,25.29,55.43,22,1,0,7,False,0,,4.49,SKIP,Insufficient demand (22 retail POIs).
53_61,,25.07,55.23,26,5,26,0,True,0,,1.2,SKIP,Insufficient demand (26 retail POIs).
53_65,,25.07,55.31,33,0,21,1,True,0,,3.93,SKIP,Insufficient demand (33 retail POIs).
69_70,,25.39,55.41,41,3,9,2,True,0,,6.85,SKIP,Insufficient demand (41 retail POIs).
57_64,,25.15,55.29,16,3,13,2,True,0,,4.09,SKIP,Insufficient demand (16 retail POIs).
67_81,,25.35,55.63,37,1,0,4,False,0,,15.53,SKIP,Insufficient demand (37 retail POIs).
49_54,,24.99,55.09,17,0,1,6,False,0,,7.71,SKIP,Insufficient demand (17 retail POIs).
71_78,,25.43,55.57,16,1,6,10,False,0,,15.26,SKIP,Insufficient demand (16 retail POIs).
45_50,,24.91,55.01,32,0,0,2,False,0,,19.59,SKIP,Insufficient demand (32 retail POIs).
59_69,,25.19,55.39,20,2,25,3,True,0,,3.12,SKIP,Insufficient demand (20 retail POIs).
61_73,,25.23,55.47,31,2,1,0,True,0,,3.75,SKIP,Insufficient demand (31 retail POIs).
68_72,,25.37,55.45,22,2,5,2,True,0,,4.82,SKIP,Insufficient demand (22 retail POIs).
66_76,,25.33,55.53,17,0,1,2,False,0,,5.2,SKIP,Insufficient demand (17 retail POIs).
55_62,,25.11,55.25,15,0,22,5,True,0,,1.92,SKIP,Insufficient demand (15 retail POIs).
53_62,,25.07,55.25,26,5,6,0,True,0,,1.81,SKIP,Insufficient demand (26 retail POIs).
46_50,,24.93,55.01,20,0,0,6,False,0,,18.16,SKIP,Insufficient demand (20 retail POIs).
57_69,,25.15,55.39,24,5,9,2,True,0,,2.31,SKIP,Insufficient demand (24 retail POIs).
52_57,,25.05,55.15,27,3,65,2,True,0,,2.01,SKIP,Insufficient demand (27 retail POIs).
24_18,"Al Danah, Abu Dhabi",24.49,54.37,2144,184,7,0,True,1,bd_delma,2.86,WATCH,High demand (2144 retail POIs) but saturated market (184 competitors) and already covered by 1 group site(s).
23_16,,24.47,54.33,116,8,11,2,True,2,tt_marina_mall_auh;tt_nation_towers,0.68,SKIP,Fully covered by 2 group sites.
18_24,"Musaffah, Abu Dhabi",24.37,54.49,93,7,0,14,False,0,,4.77,WATCH,High demand (93 retail POIs) but no residential catchment (0 residential vs 14 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
17_23,,24.35,54.47,20,0,0,12,False,0,,7.34,SKIP,Insufficient demand (20 retail POIs).
23_17,"Al Manhal, Abu Dhabi",24.47,54.35,670,76,15,0,True,3,bd_khaleej_al_arabi;tt_khaleej_al_arabi;tt_nation_towers,1.29,WATCH,High demand (670 retail POIs) but saturated market (76 competitors) and already covered by 3 group site(s).
21_22,"Khalifa Park, Abu Dhabi",24.43,54.45,78,3,14,2,True,0,,1.51,GROW,High demand (78 retail POIs) with no group catchment reaching it; moderate competition (3 salons). Nearest group site 1.51 km away.
24_17,"Al Markaziyah West, Abu Dhabi",24.49,54.35,217,10,2,0,True,0,,3.27,GROW,High demand (217 retail POIs) with no group catchment reaching it; moderate competition (10 salons). Nearest group site 3.27 km away.
22_18,,24.45,54.37,34,4,20,0,True,3,bd_delma;bd_khaleej_al_arabi;tt_khaleej_al_arabi,1.91,SKIP,Insufficient demand (34 retail POIs).
22_16,,24.45,54.33,28,0,3,0,True,1,tt_khaleej_al_arabi,0.82,SKIP,Insufficient demand (28 retail POIs).
22_19,"Al Etihad, Abu Dhabi",24.45,54.39,212,12,10,0,True,1,bd_delma,2.05,WATCH,High demand (212 retail POIs) but already covered by 1 group site(s).
23_18,"Al Manhal, Abu Dhabi",24.47,54.37,675,59,30,0,True,2,bd_delma;bd_khaleej_al_arabi,1.51,WATCH,High demand (675 retail POIs) but saturated market (59 competitors) and already covered by 2 group site(s).
23_19,"Al Nahyan, Abu Dhabi",24.47,54.39,250,23,14,0,True,1,bd_delma,0.57,WATCH,High demand (250 retail POIs) but saturated market (23 competitors) and already covered by 1 group site(s).
25_18,"Zayed Port, Abu Dhabi",24.51,54.37,160,13,2,1,True,0,,3.9,GROW,High demand (160 retail POIs) with no group catchment reaching it; moderate competition (13 salons). Nearest group site 3.9 km away.
20_24,,24.41,54.49,51,1,1,4,False,0,,0.45,SKIP,Insufficient demand (51 retail POIs).
26_33,,24.53,54.67,59,2,4,0,True,1,bd_shahama,0.65,SKIP,Insufficient demand (59 retail POIs).
26_18,,24.53,54.37,46,0,1,2,False,0,,5.54,SKIP,Insufficient demand (46 retail POIs).
16_26,"Mohammed Bin Zayed City, Abu Dhabi",24.33,54.53,495,22,12,1,True,0,,2.42,WATCH,High demand (495 retail POIs) but saturated market (22 competitors).
21_21,"Al Rehhan, Abu Dhabi",24.43,54.43,224,32,16,2,True,0,,3.52,WATCH,High demand (224 retail POIs) but saturated market (32 competitors).
17_26,"Mohammed Bin Zayed City, Abu Dhabi",24.35,54.53,104,2,12,11,True,0,,2.13,GROW,High demand (104 retail POIs) with no group catchment reaching it; moderate competition (2 salons). Nearest group site 2.13 km away.
24_19,"Al Reem Island, Abu Dhabi",24.49,54.39,381,41,21,2,True,2,bd_delma;tt_reem_mall,1.08,WATCH,High demand (381 retail POIs) but saturated market (41 competitors) and already covered by 2 group site(s).
27_34,,24.55,54.69,21,2,4,2,True,0,,3.37,SKIP,Insufficient demand (21 retail POIs).
21_20,"Al Qubaisat, Abu Dhabi",24.43,54.41,136,8,13,0,True,0,,4.91,GROW,High demand (136 retail POIs) with no group catchment reaching it; moderate competition (8 salons). Nearest group site 4.91 km away.
18_25,"Musaffah, Abu Dhabi",24.37,54.51,451,10,0,26,False,0,,3.08,WATCH,High demand (451 retail POIs) but no residential catchment (0 residential vs 26 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
22_20,"Qasr Al Bahr, Abu Dhabi",24.45,54.41,137,20,4,0,True,0,,3.23,GROW,High demand (137 retail POIs) with no group catchment reaching it; moderate competition (20 salons). Nearest group site 3.23 km away.
22_30,,24.45,54.61,69,9,2,1,True,1,bd_khalifa_city_a,1.58,SKIP,Insufficient demand (69 retail POIs).
21_28,,24.43,54.57,30,2,2,0,True,0,,1.2,SKIP,Insufficient demand (30 retail POIs).
21_23,,24.43,54.47,26,0,8,3,True,1,bd_ministries_complex,0.58,SKIP,Insufficient demand (26 retail POIs).
26_20,,24.53,54.41,29,2,8,2,True,0,,3.83,SKIP,Insufficient demand (29 retail POIs).
24_20,,24.49,54.41,39,3,18,1,True,1,tt_reem_mall,0.97,SKIP,Insufficient demand (39 retail POIs).
18_26,,24.37,54.53,46,1,6,19,False,1,bd_mohammed_bin_zayed_city,1.1,SKIP,Insufficient demand (46 retail POIs).
21_30,,24.43,54.61,27,1,1,3,False,1,bd_khalifa_city_a,1.57,SKIP,Insufficient demand (27 retail POIs).
15_31,,24.31,54.63,32,2,10,1,True,1,bd_baniyas,1.44,SKIP,Insufficient demand (32 retail POIs).
19_25,,24.39,54.51,48,1,2,7,False,0,,3.08,SKIP,Insufficient demand (48 retail POIs).
25_19,,24.51,54.39,34,0,8,3,True,0,,2.61,SKIP,Insufficient demand (34 retail POIs).
20_28,,24.41,54.57,23,0,2,6,False,0,,1.23,SKIP,Insufficient demand (23 retail POIs).
26_21,,24.53,54.43,28,1,14,2,True,0,,2.24,SKIP,Insufficient demand (28 retail POIs).
24_30,"Yas Island, Abu Dhabi",24.49,54.61,304,2,2,4,False,1,tt_yas_mall,0.5,WATCH,High demand (304 retail POIs) but already covered by 1 group site(s) and no residential catchment (2 residential vs 4 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
22_33,,24.45,54.67,27,5,0,11,False,0,,2.93,SKIP,Insufficient demand (27 retail POIs).
20_22,,24.41,54.45,20,0,1,1,False,0,,2.87,SKIP,Insufficient demand (20 retail POIs).
15_26,,24.31,54.53,45,6,4,1,True,0,,3.56,SKIP,Insufficient demand (45 retail POIs).
20_23,,24.41,54.47,40,3,0,3,False,0,,2.34,SKIP,Insufficient demand (40 retail POIs).
21_32,,24.43,54.65,31,2,0,3,False,0,,2.67,SKIP,Insufficient demand (31 retail POIs).
17_25,"Musaffah, Abu Dhabi",24.35,54.51,126,8,0,15,False,0,,3.58,WATCH,High demand (126 retail POIs) but no residential catchment (0 residential vs 15 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
14_31,,24.29,54.63,32,0,4,0,True,1,bd_baniyas,0.88,SKIP,Insufficient demand (32 retail POIs).
17_24,"Musaffah Industrial Area, Abu Dhabi",24.35,54.49,117,6,1,15,False,0,,5.41,WATCH,High demand (117 retail POIs) but no residential catchment (1 residential vs 15 industrial land parcels within 2 km) - the demand is there but the resident customer base is not.
14_32,,24.29,54.65,24,0,5,0,True,1,bd_baniyas,1.88,SKIP,Insufficient demand (24 retail POIs).
20_25,,24.41,54.51,30,1,2,3,False,0,,1.75,SKIP,Insufficient demand (30 retail POIs).
26_34,,24.53,54.69,31,3,3,0,True,0,,1.93,SKIP,Insufficient demand (31 retail POIs).
29_35,,24.59,54.71,16,3,1,3,False,0,,8.21,SKIP,Insufficient demand (16 retail POIs).
20_17,,24.41,54.35,18,0,0,0,False,0,,4.73,SKIP,Insufficient demand (18 retail POIs).
11_34,,24.23,54.69,16,0,0,0,False,0,,9.4,SKIP,Insufficient demand (16 retail POIs).
